episode,reward,epsilon,lr_per_ep
330,23.0,0.89,5e-05
331,19.0,0.8896666666666666,5e-05
332,21.0,0.8893333333333333,5e-05
333,21.0,0.889,5e-05
334,34.0,0.8886666666666667,5e-05
335,15.0,0.8883333333333333,5e-05
336,24.0,0.888,5e-05
337,14.0,0.8876666666666667,5e-05
338,18.0,0.8873333333333333,5e-05
339,20.0,0.887,5e-05
340,13.0,0.8866666666666667,5e-05
341,12.0,0.8863333333333333,5e-05
342,62.0,0.886,5e-05
343,14.0,0.8856666666666667,5e-05
344,35.0,0.8853333333333333,5e-05
345,17.0,0.885,5e-05
346,11.0,0.8846666666666667,5e-05
347,63.0,0.8843333333333333,5e-05
348,14.0,0.884,5e-05
349,27.0,0.8836666666666667,5e-05
350,26.0,0.8833333333333333,5e-05
351,21.0,0.883,5e-05
352,14.0,0.8826666666666667,5e-05
353,44.0,0.8823333333333333,5e-05
354,35.0,0.882,5e-05
355,25.0,0.8816666666666667,5e-05
356,12.0,0.8813333333333333,5e-05
357,29.0,0.881,5e-05
358,20.0,0.8806666666666667,5e-05
359,22.0,0.8803333333333333,5e-05
360,22.0,0.88,5e-05
361,18.0,0.8796666666666667,5e-05
362,21.0,0.8793333333333333,5e-05
363,19.0,0.879,5e-05
364,16.0,0.8786666666666667,5e-05
365,32.0,0.8783333333333333,5e-05
366,16.0,0.878,5e-05
367,58.0,0.8776666666666667,5e-05
368,45.0,0.8773333333333333,5e-05
369,32.0,0.877,5e-05
370,24.0,0.8766666666666667,5e-05
371,12.0,0.8763333333333333,5e-05
372,47.0,0.876,5e-05
373,28.0,0.8756666666666667,5e-05
374,10.0,0.8753333333333333,5e-05
375,47.0,0.875,5e-05
376,15.0,0.8746666666666667,5e-05
377,51.0,0.8743333333333333,5e-05
378,38.0,0.874,5e-05
379,16.0,0.8736666666666667,5e-05
380,15.0,0.8733333333333333,5e-05
381,62.0,0.873,5e-05
382,32.0,0.8726666666666667,5e-05
383,31.0,0.8723333333333333,5e-05
384,36.0,0.872,5e-05
385,14.0,0.8716666666666667,5e-05
386,19.0,0.8713333333333333,5e-05
387,52.0,0.871,5e-05
388,84.0,0.8706666666666667,5e-05
389,13.0,0.8703333333333333,5e-05
390,66.0,0.87,5e-05
391,19.0,0.8696666666666667,5e-05
392,16.0,0.8693333333333333,5e-05
393,39.0,0.869,5e-05
394,24.0,0.8686666666666667,5e-05
395,21.0,0.8683333333333334,5e-05
396,27.0,0.868,5e-05
397,12.0,0.8676666666666667,5e-05
398,12.0,0.8673333333333333,5e-05
399,23.0,0.867,5e-05
400,21.0,0.8666666666666667,5e-05
401,60.0,0.8663333333333334,5e-05
402,30.0,0.866,5e-05
403,34.0,0.8656666666666667,5e-05
404,22.0,0.8653333333333333,5e-05
405,31.0,0.865,5e-05
406,61.0,0.8646666666666667,5e-05
407,36.0,0.8643333333333334,5e-05
408,42.0,0.864,5e-05
409,46.0,0.8636666666666667,5e-05
410,56.0,0.8633333333333333,5e-05
411,10.0,0.863,5e-05
412,35.0,0.8626666666666667,5e-05
413,23.0,0.8623333333333334,5e-05
414,18.0,0.862,5e-05
415,45.0,0.8616666666666667,5e-05
416,47.0,0.8613333333333333,5e-05
417,20.0,0.861,5e-05
418,41.0,0.8606666666666667,5e-05
419,42.0,0.8603333333333334,5e-05
420,29.0,0.86,5e-05
421,22.0,0.8596666666666667,5e-05
422,44.0,0.8593333333333333,5e-05
423,33.0,0.859,5e-05
424,70.0,0.8586666666666667,5e-05
425,11.0,0.8583333333333334,5e-05
426,35.0,0.858,5e-05
427,65.0,0.8576666666666667,5e-05
428,30.0,0.8573333333333333,5e-05
429,74.0,0.857,5e-05
430,16.0,0.8566666666666667,5e-05
431,66.0,0.8563333333333334,5e-05
432,26.0,0.856,5e-05
433,20.0,0.8556666666666667,5e-05
434,13.0,0.8553333333333333,5e-05
435,11.0,0.855,5e-05
436,25.0,0.8546666666666667,5e-05
437,32.0,0.8543333333333334,5e-05
438,130.0,0.854,5e-05
439,72.0,0.8536666666666667,5e-05
440,32.0,0.8533333333333333,5e-05
441,20.0,0.853,5e-05
442,31.0,0.8526666666666667,5e-05
443,44.0,0.8523333333333334,5e-05
444,12.0,0.852,5e-05
445,23.0,0.8516666666666667,5e-05
446,29.0,0.8513333333333333,5e-05
447,15.0,0.851,5e-05
448,15.0,0.8506666666666667,5e-05
449,17.0,0.8503333333333334,5e-05
450,21.0,0.85,5e-05
451,18.0,0.8496666666666667,5e-05
452,67.0,0.8493333333333333,5e-05
453,54.0,0.849,5e-05
454,14.0,0.8486666666666667,5e-05
455,16.0,0.8483333333333334,5e-05
456,12.0,0.848,5e-05
457,11.0,0.8476666666666667,5e-05
458,38.0,0.8473333333333333,5e-05
459,17.0,0.847,5e-05
460,12.0,0.8466666666666667,5e-05
461,37.0,0.8463333333333334,5e-05
462,12.0,0.846,5e-05
463,59.0,0.8456666666666667,5e-05
464,39.0,0.8453333333333333,5e-05
465,55.0,0.845,5e-05
466,16.0,0.8446666666666667,5e-05
467,13.0,0.8443333333333334,5e-05
468,19.0,0.844,5e-05
469,17.0,0.8436666666666667,5e-05
470,35.0,0.8433333333333333,5e-05
471,21.0,0.843,5e-05
472,60.0,0.8426666666666667,5e-05
473,39.0,0.8423333333333334,5e-05
474,23.0,0.842,5e-05
475,33.0,0.8416666666666667,5e-05
476,68.0,0.8413333333333333,5e-05
477,51.0,0.841,5e-05
478,17.0,0.8406666666666667,5e-05
479,52.0,0.8403333333333334,5e-05
480,29.0,0.84,5e-05
481,22.0,0.8396666666666667,5e-05
482,52.0,0.8393333333333333,5e-05
483,36.0,0.839,5e-05
484,14.0,0.8386666666666667,5e-05
485,29.0,0.8383333333333334,5e-05
486,50.0,0.838,5e-05
487,28.0,0.8376666666666667,5e-05
488,49.0,0.8373333333333334,5e-05
489,34.0,0.837,5e-05
490,16.0,0.8366666666666667,5e-05
491,11.0,0.8363333333333334,5e-05
492,22.0,0.836,5e-05
493,24.0,0.8356666666666667,5e-05
494,18.0,0.8353333333333334,5e-05
495,155.0,0.835,5e-05
496,10.0,0.8346666666666667,5e-05
497,63.0,0.8343333333333334,5e-05
498,20.0,0.834,5e-05
499,62.0,0.8336666666666667,5e-05
500,10.0,0.8333333333333334,5e-05
501,27.0,0.833,5e-05
502,37.0,0.8326666666666667,5e-05
503,48.0,0.8323333333333334,5e-05
504,34.0,0.832,5e-05
505,38.0,0.8316666666666667,5e-05
506,14.0,0.8313333333333334,5e-05
507,93.0,0.831,5e-05
508,42.0,0.8306666666666667,5e-05
509,51.0,0.8303333333333334,5e-05
510,17.0,0.83,5e-05
511,30.0,0.8296666666666667,5e-05
512,35.0,0.8293333333333334,5e-05
513,27.0,0.829,5e-05
514,15.0,0.8286666666666667,5e-05
515,62.0,0.8283333333333334,5e-05
516,81.0,0.8280000000000001,5e-05
517,27.0,0.8276666666666667,5e-05
518,20.0,0.8273333333333334,5e-05
519,13.0,0.827,5e-05
520,11.0,0.8266666666666667,5e-05
521,63.0,0.8263333333333334,5e-05
522,70.0,0.8260000000000001,5e-05
523,47.0,0.8256666666666667,5e-05
524,33.0,0.8253333333333334,5e-05
525,34.0,0.825,5e-05
526,20.0,0.8246666666666667,5e-05
527,44.0,0.8243333333333334,5e-05
528,25.0,0.8240000000000001,5e-05
529,13.0,0.8236666666666667,5e-05
530,40.0,0.8233333333333334,5e-05
531,21.0,0.823,5e-05
532,43.0,0.8226666666666667,5e-05
533,55.0,0.8223333333333334,5e-05
534,32.0,0.8220000000000001,5e-05
535,39.0,0.8216666666666667,5e-05
536,59.0,0.8213333333333334,5e-05
537,12.0,0.821,5e-05
538,44.0,0.8206666666666667,5e-05
539,42.0,0.8203333333333334,5e-05
540,21.0,0.8200000000000001,5e-05
541,13.0,0.8196666666666667,5e-05
542,33.0,0.8193333333333334,5e-05
543,26.0,0.819,5e-05
544,71.0,0.8186666666666667,5e-05
545,40.0,0.8183333333333334,5e-05
546,27.0,0.8180000000000001,5e-05
547,18.0,0.8176666666666667,5e-05
548,31.0,0.8173333333333334,5e-05
549,26.0,0.817,5e-05
550,80.0,0.8166666666666667,5e-05
551,16.0,0.8163333333333334,5e-05
552,34.0,0.8160000000000001,5e-05
553,69.0,0.8156666666666667,5e-05
554,51.0,0.8153333333333334,5e-05
555,16.0,0.815,5e-05
556,29.0,0.8146666666666667,5e-05
557,56.0,0.8143333333333334,5e-05
558,70.0,0.8140000000000001,5e-05
559,19.0,0.8136666666666666,5e-05
560,85.0,0.8133333333333334,5e-05
561,13.0,0.813,5e-05
562,20.0,0.8126666666666666,5e-05
563,14.0,0.8123333333333334,5e-05
564,14.0,0.812,5e-05
565,119.0,0.8116666666666666,5e-05
566,25.0,0.8113333333333334,5e-05
567,50.0,0.8109999999999999,5e-05
568,48.0,0.8106666666666666,5e-05
569,54.0,0.8103333333333333,5e-05
570,74.0,0.81,5e-05
571,43.0,0.8096666666666666,5e-05
572,23.0,0.8093333333333333,5e-05
573,27.0,0.8089999999999999,5e-05
574,42.0,0.8086666666666666,5e-05
575,52.0,0.8083333333333333,5e-05
576,16.0,0.808,5e-05
577,56.0,0.8076666666666666,5e-05
578,33.0,0.8073333333333333,5e-05
579,38.0,0.8069999999999999,5e-05
580,13.0,0.8066666666666666,5e-05
581,26.0,0.8063333333333333,5e-05
582,36.0,0.806,5e-05
583,26.0,0.8056666666666666,5e-05
584,28.0,0.8053333333333333,5e-05
585,16.0,0.8049999999999999,5e-05
586,29.0,0.8046666666666666,5e-05
587,45.0,0.8043333333333333,5e-05
588,21.0,0.804,5e-05
589,22.0,0.8036666666666666,5e-05
590,112.0,0.8033333333333333,5e-05
591,36.0,0.8029999999999999,5e-05
592,65.0,0.8026666666666666,5e-05
593,16.0,0.8023333333333333,5e-05
594,50.0,0.802,5e-05
595,15.0,0.8016666666666666,5e-05
596,39.0,0.8013333333333333,5e-05
597,28.0,0.8009999999999999,5e-05
598,18.0,0.8006666666666666,5e-05
